party,content,target,stance
nld: Green Left,Van de islamitische leerlingen gaat op dit moment 95 procent naar een niet-islamitische school.,Integration,FAVOR
dnk: Conservative People’s Party,Hjælpen må gives så tæt på oprindelseslandet som muligt.,Immigration,NONE
dnk: Danish People’s Party,"Vi gik i gang, og der blev for alvor ryddet op, men opgaven er langt fra løst.",Immigration,AGAINST
dnk: Radical Party,"Så enkelt kan det siges, og det er det, Radikale Venstres udlændingepolitik afspejler.",Immigration,FAVOR
aut: Austrian People’s Party,"Die ÖVP steht für die wirksame Bekämpfung von Rassismus und Fremdenfeindlichkeit,",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,De VVD ziet kansen voor hoogopgeleide kennismigranten om ons land en onze economie te versterken.,Immigration,FAVOR
esp: Popular Party,"la mejor defensa de sus derechos y libertades,",Integration,FAVOR
fin: Left Wing Alliance,että parannetaan kotouttamista ja edellytetään myös työnantajilta vastuuta maahanmuuttajien perehdyttämisessä ja koulutuksessa,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,"Zolang aan deze aanhoudende praktijk geen einde wordt gemaakt, is een Europees asielbeleid ongeloofwaardig.",Immigration,AGAINST
aut: Austrian Freedom Party,"Im Bereich der Volksgruppen wurde sogar unterlassen, die ausständigen Topographieverordnungen",Integration,AGAINST
deu: Alliance‘90/Greens,"Minderheiten werden von vielen Menschen, die unter der verfehlten Wirtschafts- und Sozialpolitik leiden, zu Sündenböcken erklärt",Integration,NONE
deu: Social Democratic Party of Germany,"Wir sehen in der natürlichen Zwei- oder Mehrsprachigkeit ein wichtiges Potenzial, das durch eine gezielte sprachliche Förderung realisiert werden kann.",Integration,FAVOR
aut: Austrian People’s Party,und der Genfer Flüchtlingskonvention entsprechendes Asylverfahren im europäischen Einklang.,Immigration,NONE
fin: Green Union,Tarvitsemme parempaa kykyä kohdata erilaisuutta itsessä ja muissa.,Integration,FAVOR
nld: Christian Union,"In Nederland gevestigde instellingen en organisaties, zoals moskeeën, scholen, stichtingen, verenigingen, etc.mogen ter bevordering van een vreedzame integratie alleen geld uit het buitenland aanvaarden als dit geld afkomstig is uit een land met democratische vrijheden.",Integration,AGAINST
nor: Norwegian Labour Party,at asylsøkere som har fått endelig avslag må samarbeide med norske myndigheter.,Immigration,AGAINST
nor: Norwegian Labour Party,"Barneog ungdomsorganisasjonene har en unik mulighet for å bidra til mangfold i samfunnet og inkludering av alle, uansett bakgrunn",Integration,FAVOR
aut: Austrian Freedom Party,Somit wird es nicht zu einem Anstieg der arbeitsbedingten Zuwanderung,Immigration,AGAINST
nor: Progress Party,"gode kunnskaper i norsk er også et viktig grunnlag for innvandrere for å få innpass på arbeidsmarkedet, og dermed gjøre det mulig å oppnå en ordinær yrkeskarriere.",Integration,FAVOR
esp: Popular Party,"Desarrollaremos un modelo de inmigración circular, de forma que los extranjeros que vengan a nuestro país cuando hay empleo y vuelvan a su país cuando no lo hay, puedan acumular sus periodos de trabajo temporal a efectos de cómputo de permanencia, garantizándoles el permiso de trabajo en cada temporada.",Immigration,FAVOR
dnk: Red-Green Unity List,"Alle børn skal have adgang til folkeskole og børnehave, og voksne have bedre muligheder for at tage en uddannelse.",Integration,FAVOR
nld: Democrats‘66,Nederland moet een actieve rol gaan spelen bij het ontwikkelen van een ruimhartig Europees vluchtelingen- en asielbeleid.,Immigration,FAVOR
deu: Christian Democratic Union/C.Social Union ,Die Mitarbeit in Vereinen bietet besondere Chancen zur Integration.,Integration,FAVOR
usa: Republican Party,"Today's immigrants are walking in the steps of most other Americans' ancestors, seeking the American dream and contributing culturally and economically to our nation.",Integration,FAVOR
deu: Alliance‘90/Greens,"Dazu gehört die Anerkennung von Vielfalt, vielfältigen Lebensweisen und Identitäten.",Integration,FAVOR
can: Quebec Bloc,"Aussi, défendre le Québec, c'est également défendre les droits et les intérêts des gens qui y vivent.",Integration,FAVOR
esp: Popular Party,"Queremos una sociedad integrada, que garantice el derecho a la igualdad y que no acepte divisiones en función del origen étnico o las creencias religiosas de cada uno de sus miembros.",Integration,FAVOR
dnk: Red-Green Unity List,Den rammer indvandrere og etniske danskere på præcis samme måde.,Integration,AGAINST
esp: Spanish Socialist Workers’ Party,"Promoveremos los consensos necesarios que faciliten la participación política, social y cultural de todos aquellos que viven y trabajan en España.",Integration,FAVOR
esp: Popular Party,Intensificaremos la lucha contra el racismo y la xenofobia.,Integration,FAVOR
deu: The Left,Diese Erkenntnis wird häufig nur unter dem Aspekt der Nützlichkeit für den Arbeitsmarkt akzeptiert.,Integration,FAVOR
dnk: Liberal Alliance,Vi ønsker et serviceeftersyn af hele udlændingeområdet.,Immigration,AGAINST
aut: Austrian Freedom Party,"Es wurde ein Versagungsgrund bei Erteilung einer weiteren Aufenthaltserlaubnis für Studenten eingeführt, wenn diese über keinen Studienerfolgsnachweis verfügen.",Immigration,AGAINST
nor: Christian People’s Party,støtte frivillige organisasjoner som gir ilbud til barn og unge.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Een groot aantal personen verblijft illegaal in ons land.,Immigration,AGAINST
deu: Alliance‘90/Greens,Die Belange von älteren Menschen ausländischer Herkunft müssen mit einbezogen werden.,Integration,FAVOR
nor: Centre Party,Styrke det psykiske helsevernet rettet mot asylsøkere,Immigration,FAVOR
can: Conservative Party of Canada,"• aider à assurer que les immigrantes âgées de 15 à 21 ans qui entrent seules au Canada ne sont pas sujettes à un travail illégal ou non sécuritaire - dans le cas des personnes à haut risque, nous allons, pendant les six premiers mois de leur séjour, assurer un contact régulier avec l'Agence des services frontaliers du Canada.",Integration,FAVOR
deu: Free Democratic Party,Die FDP macht sich für eine Bekämpfung des Antisemitismus aus der Mitte der Gesellschaft stark.,Integration,FAVOR
aut: Austrian Freedom Party,"Frei nach dem Motto \""Wer zahlt, schafft an\"".",Immigration,AGAINST
nor: Conservative Party,gjentatte brudd på meldeplikten  må  kunne  føre  til  forvaring.,Immigration,AGAINST
deu: Christian Democratic Union/C.Social Union ,"Das Nachzugsalter von Kindern muß so angesetzt sein, daß die notwendigen schulischen und außerschulischen Voraussetzungen für eine erfolgreiche Integration gegeben sind",Integration,FAVOR
nor: Progress Party,"Fordi bosetting av flyktninger og asylsøkere  av større omfang berører norske lokalsam-funn sterkt, går Fremskrittspartiet inn for at  omfanget kan bli avgjort ved folkeavstem-ning i den enkelte kommune.",Immigration,AGAINST
nld: Christian Union,Overtredingen van de strafwet zijn ook strafwaardig als zij religieus zijn gemotiveerd.,Immigration,AGAINST
nld: Socialist Party,"Inburgering moet maatwerk zijn, dicht bij huis, in de buurt.",Integration,AGAINST
fin: Finnish Rural Party,Myös maahanmuuttajien kotoutuksessa kansallinen identiteettimme ja isänmaallisuutemme saakoon sijansa.,Integration,AGAINST
nld: Labour Party,"Sneller beslissen, met behoud van zorgvuldigheid, en in geval van afwijzing sneller werken aan terugkeer, zijn van belang.",Immigration,AGAINST
deu: Social Democratic Party of Germany,Wir müssen und wollen attraktiver für Einwanderer werden.,Immigration,FAVOR
esp: United Left,"Impulsar la reforma del Código Civil en materia de nacionalidad para hacerla más accesible, especialmente a las personas de nacionalidad extranjera nacidas en territorio del Estado.",Integration,FAVOR
esp: Popular Party,Prestaremos especial apoyo a las organizaciones no gubernamentales dedicadas a la atención a las personas migrantes y a los retornados.,Immigration,FAVOR
deu: Alliance‘90/Greens,"· den Kampf gegen Rassismus, ethnische und sexistische Diskriminierung und die Versklavung von Kindern;",Immigration,FAVOR
nor: Progress Party,Det er også viktig å bedre kontrollen ved  familiegjenforeninger.,Immigration,AGAINST
esp: Spanish Socialist Workers’ Party,- Trabajaremos para lograr la homologación de títulos y el reconocimiento de habilidades laborales adquiridas en los países de origen o en terceros países.,Integration,FAVOR
deu: Alliance‘90/Greens,Gerade ein ernsthafter Beitrittsprozess verspricht jedoch den meisten Reformerfolg.,Integration,FAVOR
irl: Ourselves Alone,"and proposed amendments to the Employment Permits Bill to enshrine equal rights for migrant workers,",Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,"Die EU-Mitgliedstaaten müssen auch künftig die Zuständigkeit behalten, über Zuwanderung in nationaler Verantwortung entscheiden zu können.",Immigration,AGAINST
nor: Liberal Party,Enkelte miljøer av innvandrerungdom bidrar sterkt til denne økningen.,Integration,FAVOR
nor: Liberal Party,"Venstres mål er at alle mennesker skal kunne delta i samfunnet på lik linje med andre uavhengig av kjønn, nedsatt funksjonsevne, etnisitet, religion eller seksuell orientering.",Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,"Wer unser Gastrecht mißbraucht, muß unser Land verlassen und wissen, daß er nicht wiederkommen darf",Immigration,AGAINST
aut: Austrian Freedom Party,"Wer jedoch straffällig wird, hat sein Asylrecht verwirkt.",Immigration,AGAINST
aut: Austrian People’s Party,und die österreichische Rechtsordnung vorbehaltlos zu akzeptieren.,Integration,AGAINST
nor: Conservative Party,Samtidig byr det flerkulturelle samfunnet på utfordringer som må løses for å kunne realisere hvert enkelt menneskes muligheter.,Integration,FAVOR
nld: Green Left,Voor de 26.000 asielzoekers uit de oude asielwet komt er alsnog een generaal pardon.,Integration,FAVOR
swe: Liberal People’s Party,DE FÖRSLAG SOM FRAMFÖRTS OM SÄRLAGSTIFTNING FÖR MUSLIMER MÅSTE AVVISAS TYDLIGT,Integration,AGAINST
nld: Reformed Political Party,"Tegen die achtergrond, en ook omdat de islam wezensvreemd is aan Nederland, de Westerse cultuur en niet zelden vijandig staat tegenover christenen en joden, gaat een toenemende zichtbaarheid van de islam in de publieke ruimte in Nederland ons aan het hart.",Integration,AGAINST
nor: Liberal Party,"I et ﬂerkulturelt samfunn med respekt for kulturelle og språklige minoriteter, må alle kunne ta vare på sine språk som en viktig del av sin identitet.",Integration,FAVOR
esp: Basque Nationalist Party,"La garantía del cumplimiento del pluralismo lingüístico en las instalaciones militares, que incluya la señalización y rotulación de las mismas.",Immigration,NONE
nor: Liberal Party,Språkopplæringen i alle språk bør vris fra fokus på teoretisk språkopplæring til vekt på språk som et praktisk hjelpemiddel.,Integration,FAVOR
nor: Norwegian Labour Party,12. Det norske samfunnet har alltid vært flerkulturelt.,Integration,FAVOR
nld: Green Left,"15. Toegelaten partners kunnen na een jaar onafhankelijk  verblijfsrecht krijgen, dat na 2 jaar permanent wordt, of  eerder als er sprake is van fysiek of psychisch geweld,  seksueel misbruik of overlijden van de partner.",Integration,FAVOR
nld: Green Left,De meiden met hoofddoek op onze universiteiten.,Integration,FAVOR
deu: Free Democratic Party,Die Muslime bilden in Deutschland neben den christlichen Kirchen die zweitgrößte Religionsgemeinschaft.,Integration,FAVOR
deu: Free Democratic Party,Arbeitsverbote schaden der deutschen Wirtschaft und den betroffenen Menschen.,Integration,FAVOR
nor: Socialist Left Party,"Det må derfor være rom for forskjell i levemåter, religioner og kultur.",Integration,FAVOR
dnk: Social Democratic Party,Vi vil sikre bedre og mere målrettede tilbud om job og uddannelse.,Integration,FAVOR
aut: Austrian People’s Party,hat keinen Platz in unserem Land.,Immigration,AGAINST
deu: Christian Democratic Union/C.Social Union ,Neben dem evangelischen und katholischen Religionsunterricht soll bei Bedarf auch Unterricht in anderen Religionen in deutscher Sprache mit in Deutschland ausgebildeten Lehrern und unter staatlicher Schulaufsicht angeboten werden.,Integration,FAVOR
nor: Progress Party,"Fremskrittspartiets restriktive innvandrings-politikk, som suppleres med aktiv integre-ring og tilpasning til norske samfunnsfor-hold, vil forebygge motsetninger og konflik-ter mellom befolkningsgrupper med ulike  typer etnisk, kulturell og religiøs bakgrunn.",Immigration,AGAINST
aut: Austrian People’s Party,Ehrendelikte sind eine besonders schlimme Sache.,Integration,AGAINST
aut: The Greens,"Zur Bewältigung der Gegenwart wie auch der Zukunft bedürfen wir der Kreativität, des Selbstbewusstseins und der gesellschaftlichen Teilhabe aller Menschen, die teilhaben wollen, unabhängig von Alter, Geschlecht, sexueller Orientierung, Behinderung, sozialer oder geographischer Herkunft, Hautfarbe, Muttersprache oder Religion.",Integration,FAVOR
deu: Alliance‘90/Greens,BÜNDNIS 90/DIE GRÜNEN stehen für Integration.,Integration,FAVOR
usa: Democratic Party,"But Americans know that today, our immigration system is badly broken – separating families,",Immigration,AGAINST
deu: Free Democratic Party,Die Bundesrepublik Deutschland ist seit Jahren faktisch ein Einwanderungsland.,Immigration,FAVOR
deu: Alliance‘90/Greens,Die Realität ist heute eine andere.,Integration,NONE
can: Liberal Party of Canada,"Si l'on se fie aux projections actuelles portant sur les taux d'attrition et les besoins des Forces, et si l'on suppose un haut taux de participation au programme, cela représente un investissement évalué à 120 millions de $ pour l'apprentissage des anciens combattants au cours des deux premières années d'un gouvernement libéral.",Immigration,FAVOR
aut: The Greens,Auch Fälle von Mißbrauch dürfen an diesem Grundsatz nichts ändern.,Immigration,FAVOR
nld: Christian Union,Deze rechten worden ook onderhouden in de samenleving.,Integration,FAVOR
nor: Centre Party,"styrke politixe \""politi\""ets arbeid med å bekjempe handel med kvinner og barn (trafficking).",Immigration,NONE
aut: Alliance for the Future of Austria,und Intensivierung der Zusammenarbeit mit den Behörden der Herkunftsländer.,Immigration,NONE
deu: Party of Democratic Socialism,"Das begünstigt Rechtsextremismus, Rassismus und das Aufleben von Antisemitismus",Integration,FAVOR
deu: Party of Democratic Socialism,"Konzepte zur Abwehr von Flüchtlingen, wie die des „Sicheren Drittstaats'' und des „Sicheren Herkunftslandes'', die die Genfer Flüchtlingskonvention untergraben, sollten nicht in eine gemeinsame EU-Asylpolitik eingehen.",Immigration,FAVOR
deu: Christian Democratic Union/C.Social Union ,"Bürokratische Hindernisse, die diesen Zielen entgegenstehen, wollen wir weiter abbauen.",Immigration,FAVOR
deu: The Left,"Das Asylbewerberleistungsgesetz, die Residenzpflicht und die Unterbringung in Sammellagern müssen sofort abgeschafft werden.",Immigration,FAVOR
nor: Socialist Left Party,"Både på grunn av hudfarge, etnisk bakgrunn, religion eller kultur – og fordi de er kvinner.",Integration,FAVOR
esp: Spanish Socialist Workers’ Party,"profundizar el diálogo regional para crear una asociación entre países de origen, de tránsito y de destino,",Immigration,FAVOR
fin: Finnish Rural Party,"On kuitenkin muistettava, että vain muutamalla maailman maalla on käytössä pakolaiskiintiö, eikä mikään kansainvälinen sopimus velvoita Suomea sellaiseen.",Immigration,AGAINST
usa: Republican Party,We simply must be able to track who is entering and leaving our country.,Immigration,AGAINST
deu: Alliance‘90/Greens,"Statt die EU-Außengrenzen immer weiter hochzurüsten und stillschweigend zu tolerieren, dass Jahr für Jahr tausende Flüchtlinge auf dem Weg in die EU im Mittelmeer ertrinken, wollen wir unser außen- und entwicklungspolitisches Handeln stärker darauf ausrichten, die gesellschaftlichen, ökonomischen und ökologischen Ursachen von Flucht und Vertreibung zu bekämpfen.",Immigration,FAVOR
nor: Norwegian Labour Party,"Grunnløse asylsøknader og misbruk av asylordningen må hindres, slik at det ikke får ødelegge for dem som har et faktisk behov for beskyttelse.",Immigration,AGAINST
swe: Liberal People’s Party,och skilj mottagandeverksamheten från Migrationsverket.,Integration,FAVOR
dnk: Danish People’s Party,Indvandrere og efterkommere er massivt overrepræsenteret i såvel kriminalitets- som ledighedsstatistikkerne.,Integration,AGAINST
deu: Christian Democratic Union/C.Social Union ,Der Schlüssel für eine erfolgreiche Integration sind gute Deutschkenntnisse.,Integration,FAVOR
deu: Alliance‘90/Greens,"Für die „erste Generation“, die seit Jahrzehnten hier lebt, muss es ein erleichtertes Einbürgerungsverfahren geben.",Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,"Denn wir sind überzeugt: Wir haben bessere Chancen, ein wirtschaftlich erfolgreiches Land zu bleiben, wenn Frauen und Männer, Jüngere und Ältere, Einheimische und Zugewanderte ihre Kompetenzen und Fähigkeiten gleichermaßen in den Betrieben einbringen.",Integration,FAVOR
nld: Reformed Political Party,Zo mogen we terughoudendheid vragen als het gaat om openbare uitingen van culturen en godsdiensten die niet passen in de Nederlandse samenleving.,Integration,AGAINST
swe: Liberal People’s Party,BISTÅND FÖR DEMOKRATI OCH SÄKERHET. Enprocentsmålet ska gälla.,Immigration,NONE
che: Swiss People’s Party,Das belegt auch die Statistik: Nahezu die Hälfte aller Straftaten wird von Ausländern verübt.,Integration,AGAINST
deu: Free Democratic Party,"Diese Inkonsequenz führte zu erheblichen Problemen in der Integration, da Deutschland aus seinem Selbstverständnis heraus nicht auf eine dauerhafte Zuwanderung eingestellt war.",Integration,AGAINST
deu: Christian Democratic Union/C.Social Union ,Deutschland ist ein weltoffenes und gastfreundliches Land.,Immigration,FAVOR
dnk: Danish People’s Party,Danmarks grænser er atter på vej til at blive sikre.,Immigration,NONE
fin: Finnish Rural Party,"Ei ole hyväksyttävää, että kotimaan turvattomuuteen vedoten voi luoda turvattomuutta johonkin toiseen maahan.",Integration,AGAINST
deu: Alliance‘90/Greens,"Die Staatsbürgerschaftsreform wollen wir weiterführen, für die erste Generation der Einwanderer die Möglichkeit des so genannten Doppelpasses einführen und die Einbürgerung von Kindern weiter erleichtern.",Integration,FAVOR
usa: Republican Party,"Making the best talent part of our team is the rationale for the H-1B visa program, which needs updating to reflect our need for more leaders in science and technology while we take the necessary steps to create more of them in our own school systems.",Immigration,FAVOR
dnk: Social Democratic Party,"Når det gælder integrationsindsatsen, skal der til gengæld på alle områder ændres kurs efter tre år med forringelser.",Integration,FAVOR
aut: Alliance for the Future of Austria,Jede Öffnung des Arbeitsmarktes für ausländische Arbeitskräfte,Immigration,AGAINST
deu: Alliance‘90/Greens,Das Ausländerrecht darf kein Strafrecht sein,Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,Die Integration der Menschen mit Migrationshintergrund ist für Deutschland eine Schlüsselaufgabe.,Integration,FAVOR
deu: The Left,"Asylsuchenden steht das gleiche Recht auf Arbeit, die gleiche Grundsicherung sowie Gesundheitsversorgung zu.",Immigration,FAVOR
che: Conservative Christian Social Party,"Wir fordern, dass Mi-granten echte Integrationschancen erhalten, verlangen aber von ihnen, dass sie sich für ihre Integration stärker engagieren.",Integration,FAVOR
deu: Social Democratic Party of Germany,Den Familiennachzug werden wir erleichtern.,Immigration,FAVOR
usa: Republican Party,"The Republican Party supports reforming the immigration system to ensure that it is legal, safe, orderly and humane.",Immigration,FAVOR
deu: Social Democratic Party of Germany,Gleichzeitig müssen die Anstrengungen zur Hilfe für die syrischen Flüchtlinge verstärkt werden.,Immigration,FAVOR
esp: Spanish Socialist Workers’ Party,dotarnos de los instrumentos eficaces para la gestión integral y concertada de los flujos migratorios.,Immigration,NONE
nor: Socialist Left Party,"Svært mange med minoritetsbakgrunn har opplevd rasisme eller diskriminering i arbeidslivet, på boligmarkedet eller i nærmiljøet.",Integration,FAVOR
deu: The Left,und eine angemessene Ausstattung der Institutionen und Projekte zur Pflege und Entwicklung der anerkannten Minderheitensprachen und -kulturen erreichen.,Integration,FAVOR
aut: Austrian Freedom Party,und ohne deutsche Muttersprache müssen ein Jahr vor der Einschulung einen Deutschtest bestehen.,Integration,NONE
nld: Party of Freedom,Zij zijn de Nederlandse samenleving niet waard gebleken.,Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,Daarvoor is het nodig dat de politie op sterkte is en kan ingrijpen. De VVD investeert in 3500 extra agenten op straat.,Integration,AGAINST
deu: Alliance‘90/Greens,"Deswegen wollen wir ein umfassendes Antidiskriminierungsgesetz, mit dessen Hilfe sich die Betroffenen gegen Diskriminierung im Alltag mit zivilrechtlichen Mitteln wehren können.",Integration,FAVOR
swe: Moderate Coalition Party,"Den stärker grupper som har svårt att etablera sig på arbetsmarknaden och minskar utanförskapet,",Integration,FAVOR
nld: Green Left,20. Gedetineerden hebben recht op een eigen cel.,Integration,AGAINST
nld: Green Left,"GroenLinks wil dat probleemgezinnen stevige begeleiding krijgen en dat straf niet alleen vergelding is, maar ook het begin van een opleiding of werk.",Integration,FAVOR
nor: Progress Party,"Fremskrittspartiet vil opprette baklands-patruljer; norske politipatruljer som sam-arbeider med utenlandske myndigheter, for  å stoppe grunnløse asylsøkere så tidlig som  mulig.",Immigration,AGAINST
deu: Alliance‘90/Greens,"Etwa durch Vereinfachung von finanziellen Transfers („Rücküberweisungen“) und die Möglichkeit, durch längeren Aufenthalt im Herkunftsland die wirtschaftliche Situation vor Ort positiv zu beeinflussen, ohne dabei aufenthaltsrechtliche Konsequenzen in Kauf nehmen zu müssen.",Immigration,FAVOR
dnk: Red-Green Unity List,"Ikke mindst kan vi få afskaffet starthjælpen,",Integration,FAVOR
deu: Alliance‘90/Greens,"Sie stehen nicht außerhalb unserer Gesellschaft, sondern gehören von Anfang an dazu.",Integration,FAVOR
nld: Christian Union,"Steeds duikt ze weer op, de discussie over de bijdrage van het bijzonder onderwijs aan integratie.",Integration,FAVOR
aut: The Greens,"Österreich ist seit jeher ein Einwanderungsland, die Schließung der Grenzen gegenüber ImmigrantInnen ist weder wünschenswert noch realistisch.",Immigration,FAVOR
deu: The Left,"Besonders häufig sind Migrantinnen und Migranten gezwungen, zu skandalösen Löhnen zu arbeiten.",Integration,FAVOR
deu: Alliance‘90/Greens,Die Strafbarkeit der Verletzung der Residenzpflicht soll fallen.,Integration,FAVOR
deu: Alliance‘90/Greens,"Wer seine Muttersprache nicht beherrscht, lernt auch nur mit Schwierigkeiten Deutsch.",Integration,FAVOR
fin: Finnish Rural Party,Eri statuksella Suomessa oleville ulkomaalaisille maahanmuuttajille voidaan luoda erilaiset järjestelmät kotouttamiseen.,Integration,FAVOR
aus: Katter's Australian Party,Since then we have seen our nation build on a diverse heritage of cultures that has contributed to our proud nation.,Integration,FAVOR
esp: Aragonist Council,"Modificar la actual Ley de extranjería, garantizando la plena ciudadanía de las personas inmigrantes extranjeras, así como la reagrupación familiar.",Integration,FAVOR
che: Swiss People’s Party,für die härtere Bestrafung statt Verhätschelung der Kriminellen und für die Ausschaffung krimineller Ausländer.,Immigration,AGAINST
can: Quebec Bloc,"et lancera un vaste programme d'information sur les avantages de l'indépendance,",Integration,FAVOR
esp: Popular Party,Si queremos que la inmigración sea una oportunidad para todos debemos asegurar que la incorporación de personas procedentes de otros países y culturas contribuye al bienestar del conjunto de la sociedad española.,Integration,FAVOR
swe: Liberal People’s Party,1. EN STOR SPRÅKSATSNING GENOMFÖRS riktad mot vuxna invandrare som önskar förbättra sina kunskaper i svenska språket.,Integration,FAVOR
dnk: Danish People’s Party,"Til en tid, hvor op til 28.000 (!), mest muslimske, flygtninge og deres pårørende hvert år strømmede ind i landets i hundredvis af flygtningecentre.",Immigration,AGAINST
esp: Spanish Socialist Workers’ Party,Reduciremos el plazo de residencia legal en España necesario para adquirir la nacionalidad por residencia.,Integration,FAVOR
dnk: Radical Party,Enhver dansk statsborger skal naturligvis kunne bo her i landet med sin ægtefælle og sine børn.,Integration,FAVOR
deu: Alliance‘90/Greens,Ergänzend zum bestehenden Asylsystem wollen wir ein Resettlement-Programm auflegen – für unsere skandinavischen Nachbarn eine Selbstverständlichkeit.,Immigration,FAVOR
aut: The Greens,Einen schlimmen Höhepunkt hat diese Polizeiwillkür im Tod von Marcus Omofuma gefunden.,Immigration,AGAINST
esp: Basque Nationalist Party,"Mantenimiento de los derechos de las personas extranjeras residentes, ante la actual política estatal de extranjería, en la que gran parte de las medidas se han dirigido a reducir los contingentes, especialmente en lo referente al reagrupamiento familiar y al arraigo.",Integration,FAVOR
esp: Popular Party,"La inmigración es una fuente de riqueza económica, social y cultural, pero la falta de políticas de integración puede generar tensiones en la convivencia.",Integration,FAVOR
aut: Austrian People’s Party,In den letzten zweieinhalb Jahren sind gerade im Volksgruppenbereich bemerkenswerte Fortschritte gelungen:,Integration,FAVOR
esp: Popular Party,"Fomentaremos la contratación en origen, supervisada por la Agencia de Inmigración y Empleo y en colaboración con el sector privado acreditado para ello.",Immigration,FAVOR
nld: Party for the Animals,Nederland moet een humaan en rechtvaardig asielbeleid toepassen.,Immigration,FAVOR
deu: Free Democratic Party,"Nach der Neuregelung des Asylrechts vom 1.7. 1993 sollen Flüchtlinge aus Bürgerkriegsgebieten, die vorübergehend in Deutschland Schutz suchen, einen asylverfahrensunabhängigen Aufenthaltsstatus mit einem befristeten Bleiberecht erhalten",Immigration,NONE
deu: The Left,"Das Bildungssystem muss so verändert werden, dass Vielfalt der Herkunft und des kulturellen Hintergrundes als Chance begriffen werden kann,",Integration,FAVOR
aut: The Greens,"Damit gleiches Recht für alle gilt, braucht es eine wachsame Kontrollkraft in Österreich ­ das garantieren die Grünen.",Immigration,AGAINST
aut: Austrian Social Democratic Party,sowie Integration ermöglichen und vorantreiben.,Integration,FAVOR
swe: Liberal People’s Party,Och väldigt många av dem som har flytt eller invandrat till vårt land har lyckats,Immigration,NONE
deu: Party of Democratic Socialism,Zu den Gründen für Asylgewährung ist auch die Verfolgung wegen sexueller Orientierung zu rechnen,Immigration,FAVOR
esp: Spanish Socialist Workers’ Party,Elaborar un protocolo consensuado con las Administraciones competentes para la reagrupación familiar en su país de origen de los menores extranjeros no acompañados.,Integration,FAVOR
deu: The Left,sowie für gleiche Rechte beim Zugang zum Arbeitsmarkt.,Integration,FAVOR
nor: Progress Party,". enkeltmennesket er, sammen med familien og eiendomsretten, det grunnleggende i samfunnet",Integration,FAVOR
