party,content,target,stance
usa: Democratic Party,"Undocumented immigrants within our borders who clear a background check, work hard and pay taxes should have a path to earn full participation in America.",Immigration,FAVOR
nor: Norwegian Labour Party,motarbeide fanatisme og antidemokratiske holdninger i Norge,Integration,FAVOR
deu: Alliance‘90/Greens,Das Aufenthaltsrecht muss modernisiert werden.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,"Op de basisscholen wil de VVD het onderwijs zodanig intensiveren en toesnijden op de doelgroep (kinderen met weinig taalvaardigheid, tekortschietende opvoeding, weinig discipline) dat aan het eind geen achterstand meer bestaat.",Integration,AGAINST
deu: Alliance‘90/Greens,statt zentrale Rechte von UnionsbürgerInnen zu beschneiden.,Integration,FAVOR
nor: Christian People’s Party,"jobbe for at det blir nulltoleranse mot diskriminering og trakassering uansett kjønn, etnisk bakgrunn, livssyn, seksuell orientering og nedsatt funksjonsevne.",Integration,FAVOR
dnk: Danish People’s Party,"Og hvor danskere har en beskæftigelsesfrekvens på 78, så er beskæftigelsesfrekvensen for indvandrere  fra Libanon og Somalia på 39.",Immigration,AGAINST
nld: Christian Democratic Appeal,5.2.5. Het CDA neemt interreligieuze en interculturele spanningen buitengewoon serieus.,Integration,NONE
nld: Christian Democratic Appeal,Re-integratiebedrijven dienen te worden ingezet voor moeilijk plaatsbaren.,Integration,AGAINST
irl: Familiy of the Irish,"including increased border control and surveillance,",Immigration,AGAINST
can: New Democratic Party,••S'assurer que des lois sévères soient imposées dans les cas de consultants en immigration malhonnêtes;,Immigration,AGAINST
nld: Christian Union,Tegelijk is veel integratiebeleid versmald tot islambeleid dat via de moskee wordt uitgevoerd.,Integration,AGAINST
usa: Republican Party,"We are grateful to the thousands of new immigrants, many of them not yet citizens, who are serving in the Armed Forces.",Integration,FAVOR
swe: Moderate Coalition Party,och att skadlig protektionism undanröjs.,Immigration,FAVOR
esp: Canarian Coalition,"Modiﬁcación del Código Civil en materia de nacionalidad, de una parte para diﬁcultar los matrimonios de conveniencia como medio de adquisición de la nacionalidad española y,",Immigration,AGAINST
esp: Canarian Coalition,y medidas eficaces de lucha contra la inmigración irregular.,Immigration,AGAINST
deu: Party of Democratic Socialism,Asyl ist ein Menschenrecht,Immigration,FAVOR
nld: Socialist Party,Ook moet een einde komen aan de vervuiling van het budget voor ontwikkelingssamenwerking.,Immigration,AGAINST
che: Green Party of Switzerland,Beide Gesetze sind vom Geist der Abschreckung und Ausgrenzung geprägt.,Immigration,FAVOR
aut: Austrian People’s Party,Wir sind für ein Gesamtverfahren bei Familien,Immigration,NONE
nld: Socialist Party,Alle asielzoekers die in Nederland verblijven hebben recht op een humane opvang.,Immigration,FAVOR
nld: Socialist Party,"Discriminatie op basis van geslacht, etniciteit, religie, seksuele geaardheid en handicap wordt stevig aangepakt.",Integration,FAVOR
aut: The Greens,Das Recht auf Asyl ist ein grundlegendes Menschenrecht und darf nicht angetastet werden.,Immigration,FAVOR
dnk: Radical Party,"Asylbørn er bare almindelige børn, hvis forældre er i en svær situation.",Immigration,FAVOR
nld: Christian Union,"Of het gaat om de hervorming van de verzorgingsstaat, een nieuwe verdeling van verantwoordelijkheden tussen overheid en burger, migratie en integratie, de verhoudingen tussen bevolkingsgroepen, botsende grondrechten, de dreiging van terrorisme en criminaliteit, of vraagstukken van internationale gerechtigheid.",Integration,FAVOR
esp: Spanish Socialist Workers’ Party,"Generalización de la red territorial de Centros de Servicios Sociales de atención primaria, que coordinen e impulsen los programas de prevención de la violencia domestica, ayuda frente el fracaso escolar, integración de inmigrantes y cualquier contingencia de grave situación o riesgo individual o familiar.",Integration,FAVOR
nor: Progress Party,"Fremskrittspartiet vil begrense antall personer  som gis opphold i Norge,",Immigration,AGAINST
fin: Finnish Centre,Kielikoulutuksen kustannuksista huolehditaan valtionrahoituksella.,Integration,FAVOR
aus: Katter's Australian Party,"However, there needs to be a process of immigration that is fair to all who want to come to Australia",Immigration,FAVOR
nor: Progress Party,"Muntlig  sidemål bør inngå som en naturlig del av  den ordinære norskundervisningen, men  uten at kunnskap i sidemål skal måles med  prøver eller eksamen.",Integration,FAVOR
dnk: Socialist People’s Party,"Det rammer  mureren,  der  mister  sit  job  til  en  underbetalt  kollega,  det presser  danske  lønninger  og  arbejdsforhold  nedad,",Integration,AGAINST
nor: Conservative Party,"Mennesker som må flykte fra sine hjemland på grunn av forfølgelse eller naturkatastrofer, skal kunne søke beskyttelse i Norge, i tråd med internasjonale menneskerettigheter og våre internasjonale forpliktelser.",Immigration,FAVOR
aut: Austrian Freedom Party,"Dies kann nur dann erreicht werden, wenn das Verhältnis Österreicher/Ausländer ausgewogen ist",Immigration,AGAINST
nld: Reformed Political Party,- In de inburgeringcursus moet uitdrukkelijk aandacht zijn voor het probleem van het antisemitisme.,Integration,NONE
nor: Norwegian Labour Party,". Vi vil at grupper og individer med annen kulturbakgrunn skal ha de samme muligheter, rettigheter, plikter og ansvar som flertallet",Integration,FAVOR
aut: Alliance for the Future of Austria,und die illegale Migration gehört schon beinahe zum Alltag.,Immigration,AGAINST
deu: Alliance‘90/Greens,Während des Asylverfahrens werden Flüchtlinge einer bestimmten Aufnahmeeinrichtung zugeteilt.,Immigration,FAVOR
nld: Christian Union,Nieuwkomers leggen een inburgeringsexamen af.,Integration,AGAINST
che: Social Democratic Party of Switzerland ,"Ein ausgewogenes Verfahren muss eingerichtet werden, das den Asylbewerbern und -bewerberinnen erlaubt, ihre Rechte effizient geltend gemacht werden können (etwa Zugang zu sofortiger, professioneller und kostenloser juristischer U nterstützung).",Immigration,FAVOR
irl: Familiy of the Irish,"and a coordinated visa policy, along with information sharing and police cooperation.",Immigration,FAVOR
esp: Popular Party,"Fortaleceremos los controles en las fronteras, tanto las exteriores al espacio Schengen como en las fronteras interiores de la Unión Europea mediante controles móviles.",Immigration,AGAINST
nld: Christian Democratic Appeal,In een land waar verschillende culturen samenleven is onderlinge betrokkenheid de beste garantie voor de toekomst.,Integration,FAVOR
esp: Popular Party,Queremos reforzar las relaciones con el pueblo de Cuba y continuar impulsando una transición pacífica hacia la democracia.,Immigration,FAVOR
nor: Christian People’s Party,"Et samfunn der mennesker med ulike kulturell bakgrunn og tradisjon lever sammen, er en berikelse både mellommenneskelig og for nasjonen.",Integration,FAVOR
deu: Alliance‘90/Greens,mit der solidarischen Aufnahme von Asylsuchenden aus den europäischen Flüchtlingshochburgen,Immigration,FAVOR
nld: Green Left,Asielzoekers worden in staat gesteld in elke fase van hun  asielprocedure nieuwe feiten en omstandigheden in te  brengen.,Immigration,FAVOR
nld: Christian Democratic Appeal,De problemen rond integratie stellen dat vertrouwen op de proef.,Integration,AGAINST
aut: Austrian Freedom Party,Verkürzung der Asylverfahren,Immigration,AGAINST
nor: Liberal Party,Arbeidsinnvandrere og ﬂyktninger eller asylsøkere har vidt forskjellige utgangspunkt – det må også reﬂekteres i integreringspolitikken.,Integration,FAVOR
nor: Christian People’s Party,Minoritetskvinner kan bli utsatt for en dobbel diskriminering både på bakgrunn av kjønn og etnisitet.,Integration,FAVOR
nld: Democrats‘66,"De Europese Commissie heeft al stappen in deze richting gezet, onder andere door het oprichten van een Europese vacaturebank.",Immigration,FAVOR
nor: Christian People’s Party,Samtidig har en del av befolkningen i dag en annen religiøs og kulturell bakgrunn.,Integration,FAVOR
nor: Norwegian Labour Party,arbeide for å skjerme barnefamilier og enslige kvinner på asylmottak,Immigration,FAVOR
irl: Progressive Democrats,The State-run Reception and Integration Agency (RIA) has established an Integration Fund aimed at encouraging and facilitating cross-cutting projects which will have a major leverage effect in the integration area.,Integration,FAVOR
aus: Liberal Party of Australia,We will establish presumption against refugee status for people who arrive on boats without identity papers,Immigration,AGAINST
nld: Christian Democratic Appeal,Dat betekent dat de Westerse cultuur en waarden en normen leidend zijn voor de samenleving.,Integration,NONE
nor: Liberal Party,"Formålsparagrafene for offentlige samfunnsinstitusjoner, bl.a. skoler og barnehager, må endres slik at de er livssynsnøytrale og er inkluderende for alle uavhengig av tros- og livssyn.",Integration,FAVOR
deu: Alliance‘90/Greens,Nach der Angst um den Arbeitsplatz oder die soziale Absicherung steht häufig die Angst vor Kriminalität,Integration,AGAINST
nld: Green Left,De toekomst mag ons niet overkomen.,Immigration,FAVOR
esp: United Left,Los problemas que tiene la economía española en lo que respecta a la baja productividad tienen una importancia significativa en el comercio.,Immigration,NONE
nld: Labour Party,Gemeenten die reële problemen wilden aankaarten werden niet gehoord en fouten werden toegedekt in plaats van opgelost.,Integration,AGAINST
nld: Christian Union,Leerlingen vertellen over en weer over elkaars geloof en cultuur.,Integration,FAVOR
dnk: Radical Party,"Så enkelt kan det siges, og det er det, Radikale Venstres udlændingepolitik afspejler.",Immigration,FAVOR
aut: The Greens,"Wir gehen davon aus, dass AsylwerberInnen ein Asylverfahren in Freiheit und nicht in Schubhaft zusteht.",Immigration,FAVOR
nld: Christian Union,Teveel mensen voelen zich ontheemd in eigen land.,Integration,AGAINST
deu: Christian Democratic Union/C.Social Union ,Eine generelle Hinnahme doppelter Staatsbürgerschaften lehnen wir dabei ab.,Integration,AGAINST
nor: Socialist Left Party,Mennesker med minoritetsbakgrunn er fremdeles grovt overrepresentert på ledighetsstatistikken.,Integration,FAVOR
esp: Popular Party,-Garantizaremos los derechos de los padres en relación con las modalidades de escolarización más acordes a las necesidades educativas de sus hijos.,Integration,FAVOR
aut: Austrian People’s Party,"Abzulehnen ist aber der Versuch, neue Asylgründe in die Genfer Flüchtlingskonvention aufzunehmen.",Immigration,AGAINST
fin: Christian Democrats in Finland,Työllistämällä heidät saamme voimavaroja tukea vaikeuksissa eläviä lähellä ja kaukana.,Integration,FAVOR
esp: Spanish Socialist Workers’ Party,Garantizaremos que los ciudadanos y profesionales conozcan permanentemente el contenido y estado de los procesos en los que tengan interés legítimo.,Integration,FAVOR
nld: Green Left,Slachtoffers krijgen het recht om onder  begeleiding daders rechtstreeks te confronteren met hun  leed.,Integration,AGAINST
nld: Green Left,"Zij zijn bruggenbouwers tussen meerderheid en minderheden, tussen Nederland en de wereld.",Integration,FAVOR
nld: Party of Freedom,Alleen de PVV komt op voor het behoud van de verzorgingsstaat en pleit daarom voor het stopzetten van de immigratie uit islamitische landen.,Immigration,AGAINST
che: Swiss People’s Party,"Die Folgen für Infrastrukturen, Mieten, Bodenpreise, Raumplanung, Energieverbrauch, Schulen, Gesundheitswesen oder Sozialwerke sind gravierend.",Immigration,AGAINST
deu: Party of Democratic Socialism,"Dazu zählen die unbürokratische Anerkennung von Schul-, Ausbildungs- und Hochschulabschlüssen und umfassende interkulturelle Fördermaßnahmen",Integration,FAVOR
nzl: New Zealand National Party,", and roll the Service into a new Ministry that draws together the functions of the Immigration Service and the Citizenship role of the Ministry of Internal Affairs.",Immigration,NONE
nor: Progress Party,6.Familiegjenforening for innvandrere  og flyktninger begrenses til dem  som har hatt lovlig opphold i Norge i  minst 5 år og har utvist en plettfri  vandel.,Integration,AGAINST
esp: Popular Party,Haremos posible que las empresas de recursos humanos puedan contratar y formar trabajadores extranjeros en origen a fin de facilitar la contratación a las PYMEs.,Integration,FAVOR
nor: Socialist Left Party,". Vi vil bekjempe alle former for diskriminering på bakgrunn av kjønn, hudfarge, etnisk tilhørighet, religion, nedsatt funksjonsevne, seksuell orientering, kjønnsuttrykk og status for øvrig.",Integration,FAVOR
swe: Sweden Democrats,En begränsning av asyl- och anhöriginvandringen till en nivå som den i våra grannländer Danmark och Finland.,Immigration,AGAINST
deu: Alliance‘90/Greens,und ein humanitäres Flüchtlingsrecht.,Immigration,FAVOR
irl: Soldiers of Destiny,Dramatically expanded the staffing of the Refugee Applications Office to ensure that decisions are made much faster.,Immigration,FAVOR
deu: Christian Democratic Union/C.Social Union ,"Soweit rechtliche und praktische Schwierigkeiten bei der Umsetzung dieses Modells erkennbar werden, wollen wir diese beheben.",Immigration,FAVOR
swe: Sweden Democrats,Ett avskaffande av den kostnadsfria sjuk- och tandvården för illegala invandrare.,Integration,AGAINST
nld: Reformed Political Party,Het mag in geen geval meer  voorkomen dat uitgeprocedeerde asielzoekers en hun gezinnen die zelf  loyaal meegewerkt hebben aan hun terugkeer op straat terechtkomen.,Immigration,AGAINST
dnk: Red-Green Unity List,"Langt de fleste flygtninge fra krig tager ikke turen til Europa, men er internt fordrevne i deres eget land eller flygter til de nærmeste landes midlertidige FN-lejre.",Immigration,AGAINST
aut: Austrian Social Democratic Party,Wir treten für eine rechtlich und gesellschaftspolitisch geordnete Zuwanderung ein,Immigration,FAVOR
nor: Norwegian Labour Party,". Vår evne til å gjøre dette, påvirkes av hvor mange asylsøkere som kommer til landet",Immigration,AGAINST
aut: Austrian Freedom Party,Mit allen Herkunftsstaaten von Asylsuchenden sind Rückübernahmeabkommen abzuschließen.,Immigration,AGAINST
nor: Conservative Party,Mennesker fra andre land og kulturer bidrar positivt gjennom arbeid og ved å tilføre det norske samfunn nye impulser.,Integration,FAVOR
che: Green Party of Switzerland,"Wer eine Arbeitstelle vorweisen kann, soll auch eine Aufenthaltsbewilligung erhalten.",Integration,FAVOR
fin: Green Union,parantaa ihmiskaupan uhrien asemaa pidentämällä heidän oleskelulupaansa,Integration,FAVOR
nld: Christian Union,"In reactie op het plan van de acceptatieplicht benadrukt ook de Besturenraad, de koepelorganisatie voor protestants-christelijk onderwijs, dat christelijke scholen niet minder allochtone leerlingen opnemen dan andere scholen.",Integration,AGAINST
aut: Austrian Communist Party,Es gilt der Ausgrenzung von MigrantInnen entschieden entgegenzutreten.,Integration,FAVOR
fin: Christian Democrats in Finland,"Kotoutumista edistää, kun häntä kohdellaan ensisijaisesti ihmisenä, jolla on samat oikeudet ja velvollisuudet kuin kantasuomalaisilla.",Integration,FAVOR
aut: Austrian Freedom Party,Sprachliche und soziokulturelle Integration.,Integration,FAVOR
deu: Alliance‘90/Greens,"Die Unterbringung von Asylbewerberinnen und Asylbewerbern in Sammelunterkünften und das Sachleistungsprinzip sind auf Dauer menschenunwürdig, deshalb wollen wir sie abschaffen.",Immigration,FAVOR
dnk: Danish People’s Party,72 millioner tyrkere venter på gratis adgang til Europa.,Immigration,AGAINST
aut: Austrian Freedom Party,Keinerlei Nachsicht (‚Zero-Tolerance’) gegenüber Drogendealern.,Immigration,AGAINST
nor: Centre Party,Senterpartiet vil ha en innvandrings- og integreringspolitikk som setter menneskeverd i fokus og der enkeltmennesket har klare rettigheter og plikter,Integration,FAVOR
fin: Finnish Rural Party,"Kunnissa, joissa uskotaan muuttotappion vain syvenevän ja tulevaisuuden olevan entistä synkempi, ei panostamista lapsiperheisiin useinkaan nähdä järkevänä.",Integration,AGAINST
nor: Christian People’s Party,Hverdagen for mange innvandrere i Norge kan være vanskelig.,Integration,AGAINST
aut: Alliance for the Future of Austria,Maßnahmen zur Integration von Ausländern sind verstärkt zu setzen.,Integration,AGAINST
fin: Christian Democrats in Finland,"Kotoutumisen myötä maahanmuuttaja haluaa lopulta kokea asuvansa Suomessa kuin kotimaassa, ei ulkomailla.",Integration,FAVOR
esp: Popular Party,La incorporación de los alumnos inmigrantes al sistema educativo deberá hacerse en las mejores condiciones posibles para poder cursar sus estudios con aprovechamiento.,Integration,FAVOR
esp: Popular Party,Evitar el funcionamiento de redes de tráfico ilegal de inmigrantes.,Immigration,AGAINST
che: Conservative Christian Social Party,Wir sagen JA zur Weiterführung der Personenfreizügigkeit mit der EU nach 2009.,Immigration,FAVOR
dnk: Liberals,"men samtidig sikre, at de, der får afvist deres asylansøgning, hurtigst muligt vender tilbage til deres hjemland.",Immigration,AGAINST
